Year,SA2 Code,highest year of school completed (persons over 15) over year 8,persons with post school qual - bachelor ,highest year of school completed (persons over 15) over year 11,highest year of school completed (persons over 15) over year 10,highest year of school completed (persons over 15) did not go to school,persons with post school qual - with a post-school qualification,persons with post school qual - grad dip/grad cert,persons with post school qual -inadequately described,highest year of school completed (persons over 15) not stated,highest year of school completed (persons over 15) over year 12,persons with post school qual - adv diploma,persons with post school qual -certificate,persons with post school qual - postgrad,highest year of school completed (persons over 15) over year 9
2016,122031430,2.3,23.2,5.3,16.3,0.4,69.8,2.9,8.6,6.4,65.2,11.5,16.3,7.3,4
2016,122031431,2.3,19.1,5.6,19.5,0.3,68.6,2.2,11.2,8.5,59.1,11.7,19.5,5,4.8
2016,122031432,2.3,19,6.3,21.6,0.4,65.8,2.3,8.9,6.5,57.6,11.2,18.3,6,5
2016,123021437,4.7,11.9,6.3,23.4,0.8,55.3,1.1,10.8,8.7,48.8,8.7,19.3,3.5,7.4
2016,116031316,6.8,7.6,7.3,25.1,0.8,47.3,0.5,13.7,11.9,38.8,6.1,16.6,2.9,9.2
2016,116031318,7.9,null,10.5,23.7,null,68.4,null,31.6,34.2,21.1,null,26.3,null,null
2016,116031319,5.5,15.7,6,20.6,1.3,53.8,0.9,7.5,5.5,55.5,8.3,17.9,3.4,5.7
2016,123031447,4.1,8.2,7.5,33.6,0.4,59.2,1.3,11.3,9.1,37,8.7,27.3,2.4,8.4
2016,123031448,4,8.9,6.5,34.5,0.3,60.1,1.2,9.1,6.9,39.6,8.9,29,2.9,8.2
2016,124011450,1.9,19.4,6.3,24.8,0.1,69.1,3.5,6.5,4.4,57.2,11.6,21.2,7,5.2
2016,124021456,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2016,124031457,4.8,6.8,7.5,34.6,0.5,51.7,0.7,7.9,6,37.8,7.7,26.7,1.8,8.9
2016,124031458,3.8,10.5,7,29.7,0.5,56.2,1.1,7.9,6.5,45.3,9.2,24.4,3.2,7.2
2016,124051469,2.8,10.5,7.4,31.8,0.5,53.6,0.8,6.4,4.2,46.4,8.5,25.1,2.4,6.8
2016,101021007,3.7,12.8,5.6,25.7,0.2,66.9,2.4,16.5,13.7,43.5,8.5,21.3,5.3,7.5
2016,101031015,4.4,11.6,6.6,27.1,0.3,63.1,1.2,14.5,12,41.5,8.6,24.2,2.7,8
2016,101031016,2.5,12.7,7.5,22.6,0.2,68.4,1.7,12.6,10.6,52.1,9.8,28.2,3.1,4.6
2016,101041018,5.7,9.3,7.1,29.1,0.2,59.3,1.9,13.8,11.9,37,8.4,23.5,2.4,8.9
2016,101041019,5.7,11.1,8.7,28.5,0.1,58.4,2,13.1,11,38,7.7,22,2.4,7.9
2016,101021009,5.8,14,5.5,20.1,0.9,60.7,2.3,11.1,10,52.2,8.8,19.3,5.1,5.3
2016,125011585,8.1,15.7,4.8,13.9,5.2,47.1,0.8,7.4,4.9,58.2,7.9,11.4,3.8,5
2016,103041076,6,9.5,6.8,32.9,0.1,57.8,1.5,12.5,10.1,35.6,7.4,24.9,1.9,8.6
2016,104011080,7.2,7,6.5,33.7,0.4,53.8,1,14.3,11.7,30.1,6.5,23.9,1.1,10.4
2016,102011033,3.1,10.3,7.3,28.1,0.4,60.6,1.2,10.1,7.7,46.7,11,25.7,2.2,6.4
2016,113011256,8.3,8.4,7,28.1,1.6,52.5,1,15.1,12.4,34.9,6.1,20.5,1.6,7.7
2016,102011034,4.2,10.8,6.9,31.2,0.1,58.1,1.6,9.2,6.4,41.5,9.2,24.8,2.5,9.6
2016,102011035,3.3,12.2,7.5,28.5,0.6,60.1,1.7,7.3,5.3,47.6,10.2,25.7,3.1,7
2016,104021087,6.2,9.4,7.2,29.5,0.4,55.2,1.8,13.2,12.1,33.8,7,22.5,1.7,10.9
2016,111021220,4.4,10.7,7.5,34.1,0.1,62.3,1.8,7.2,5.1,38.8,11,28.8,2.7,10.1
2016,102011036,3.5,12.9,7.8,28.3,0.1,60.6,1.8,7.4,5.2,48.4,10.5,25.2,3,6.7
2016,113011258,7.5,7.6,7.9,33.8,0.4,51.7,0.9,14.5,12.4,28,5.5,22,1.1,10
2016,113011259,7.4,6.6,7.2,31.5,0.6,52,1.1,17.6,15.4,27.1,5.9,20.2,0.9,10.6
2016,102011037,3.1,14.7,6.4,26.7,0.4,63.6,2,8.3,6,50.1,11.6,22.7,4.3,7.3
2016,102011043,4.4,10.1,7.6,27.2,0.3,59,1.2,12.5,9.9,42.3,9.8,23.1,2.2,8.4
2016,102021045,5.9,4.3,8.7,37,0.3,48.7,0.5,9.1,6.5,30,6.7,27.6,0.5,11.6
2016,102021050,5.5,5.5,7.1,38.2,0.1,52.7,0.7,11.1,9,27.2,7.2,27.3,0.9,12.7
2016,102021052,4.8,5.8,7.4,39.4,0.3,53.7,0.8,8,6,30.4,7.3,30.7,1.1,11.7
2016,113021261,6.9,7.5,7.9,31.4,0.3,54.1,0.8,16.1,14.3,29,6.7,22,1,10
2016,113031263,8.1,7,6.8,33.7,0.3,52.7,1,13,9.8,31.1,7.6,23.1,1.1,10.3
2016,107011547,9,6,6.1,33,0.6,52.7,1,12.3,9.9,29.4,7.3,24.1,2,11.7
2016,113031264,6.5,7.4,7.1,33.2,0.4,50.6,0.7,13.8,11.1,31.1,6,21.6,1,10.6
2016,113031268,3,14.8,5.8,21.5,0.2,58.3,1.6,8.9,6.4,57.7,7.6,21.4,3.9,5.1
2016,107031137,5.4,5.2,7.8,36.1,0.6,55.7,0.7,12.7,10.1,28.8,7.4,29,0.8,11.1
2016,110011187,7,10.2,6.3,28.6,0.4,55.2,1.3,13.1,10.5,38.6,7.1,20.9,2.7,8.3
2016,107031143,7.8,5.3,7.2,33.6,0.9,50.8,0.8,12.2,10.2,29.1,6.9,24.6,1,11.2
2016,107041144,6,14.6,5.8,24.7,0.9,60.5,1.9,8.3,6.4,49.3,9.3,20.7,5.7,6.8
2016,107041146,4.7,17.2,5.3,22.1,0.6,63.1,2.4,6.7,4.7,56.5,9.5,20,7.3,5.9
2016,109011173,5.9,9.1,10.9,27.7,0.8,57.1,1.8,11.5,10.3,35.9,7.8,25.3,1.7,8.6
2016,109011174,3.9,15.4,10.4,19.5,0.4,63.8,2.9,13.1,12.2,47.5,9.2,18.7,4.4,5.9
2016,109021177,8.7,6,9,25.8,0.3,49.2,0.7,16.7,14.9,31.7,6.3,18.9,0.7,9.5
2016,110031195,6.7,8.1,7,27.6,0.6,54.7,0.9,18.4,16.3,32.5,6.1,20,1.2,9.2
2016,110031196,6.4,8.2,7.7,27.1,0.5,52.1,1.3,17.5,14.6,35,7.2,16.9,0.8,8.6
2016,110031197,6.7,7.8,7.7,29.8,0.4,53.9,1.1,14.9,12.7,32.7,5.9,22.4,1.7,10.1
2016,111021217,4.7,8.8,7.3,34,0.3,55.9,1,8,6.1,37.4,8.2,27.9,2,10.2
2016,111021218,5.8,9.5,7,31.9,0.5,59.4,1.3,12,9.9,34.5,8.7,24.7,3.1,10.5
2016,111031224,5,19.6,5.2,21.5,0.6,64,2.6,9.6,8,53.5,8.6,17.8,5.8,6.1
2016,111031234,3.7,14.5,5.8,23.9,0.5,61.4,1.8,11.7,10,48.5,8.3,21.5,3.8,7.4
2016,115011296,2,28.1,4.7,12.6,0.5,68.3,2.5,4.9,2.8,73.7,9.9,11.4,11.4,3.6
2016,112031551,3.3,13.4,8.9,28.6,0.1,60.9,2,7,5.9,46.3,10.2,25.4,2.5,7
2016,115041301,4.1,9.1,6.9,35.5,0.5,58.7,1.2,8.1,5.9,39.4,9.5,28.8,2.1,7.9
2016,112011243,3.2,15.8,7.3,22.1,0.4,67.8,2,16.7,14.6,47.5,10.6,18.8,3.8,5
2016,112021246,5.8,11.9,6.8,30.7,0.3,59,1.5,11.3,9.5,38.5,7.6,24.6,2.1,8.5
2016,111031227,5,14.5,6.2,25.3,0.6,60.4,1.5,9.8,8.3,47.4,8.7,21.7,4.3,7.1
2016,112021248,5.9,11.7,7.1,28.7,0.4,58.4,1.9,12.4,10.5,39.1,7,22.6,2.7,8.3
2016,114011272,3.5,14,5.6,28.5,0.2,66.6,2.3,13.4,10.8,42.9,10.4,22,4.4,8.5
2016,114011274,6.8,6.9,6.1,33.8,0.3,56.6,1.7,13.2,11.7,29.2,7.5,26,1.6,12
2016,114011277,5,10.1,7.2,30.9,0.3,61.2,1.9,11.4,9.1,37.6,9.9,25.6,2.3,9.9
2016,114011278,5.8,6.2,7.4,29.2,0.3,59.1,1.1,18,16,31.4,7.6,24.8,1.4,9.9
2016,114011280,7.5,5.3,6.3,38.3,0.1,54.1,0.9,11.8,10,24.5,6.5,28.6,1.1,13.2
2016,114011281,5.2,9.4,7.5,34.8,0.1,64.3,1.9,10.4,8.3,34.8,9,31.2,2.5,9
2016,114011282,5.3,8.3,6.7,33,0.2,58.1,1.7,12.7,10.3,34.3,8.1,25.3,1.9,10.3
2016,114021284,2.9,17.3,6.6,22.7,0.2,66.7,2.8,10.8,7.9,53.7,12.2,17.5,6.1,5.9
2016,111031229,1.7,26.6,5,14.9,0.3,73.1,2.9,11.1,9.4,64.7,8.5,14,10.1,3.9
2016,111031232,4.6,9.9,6,31.2,0.2,62.6,1.3,16.8,14.6,32.6,7.9,24.2,2.7,10.8
2016,111031233,5.3,12,6.4,29.3,0.5,57.8,1.2,9.8,7.4,40.4,8.3,23,3.5,10.7
2016,115031299,4,9.5,5.8,29.3,0.1,67.3,1.7,18.1,15.6,38.2,8.7,25.6,3.4,7
2016,111031235,3.4,21.1,5.5,20.5,0.4,68.2,2.7,9,7.8,56.8,9.3,19.7,6.3,5.5
2016,112011237,4.8,14,7,29.1,0.3,63.5,2.3,10.9,8.7,42.4,10,23.1,3.2,7.8
2016,112011238,2.3,19.5,6.3,20,0.2,70.6,2.4,15.2,13.4,53.8,11.5,17.1,5.1,3.9
2016,115011553,1.8,24.8,4.8,15.9,0.4,68.5,2.3,6.2,3.9,69.2,11.3,14,10,4.2
2016,116021312,5.2,15.1,5.6,24.6,0.9,59.7,1.2,9.9,8.2,48.8,8.3,19.8,5.3,6.7
2016,115011554,2.7,21.8,4.3,14.9,0.5,68.4,2.2,16.7,14.1,58.5,9.2,10.1,8.5,5
2016,115011555,2.2,23.1,5.2,16.2,0.6,66.6,2.5,6.1,3.9,67.5,11.5,14.2,9.2,4.4
2016,116011304,6,13.5,5.8,21.2,1.5,53.8,0.9,8,6.1,52.4,8.7,18,4.7,7
2016,116011306,4.9,18.8,5.2,17.5,1.2,56.6,1.1,8,6,59.9,8.4,14.5,5.7,5.2
2016,116011308,5.3,15.6,5.4,20.2,1.2,57.6,1.3,8.8,6.7,55.6,9.1,16.3,6.5,5.7
2016,116031313,7.6,4.9,7.8,25.3,1.6,41.8,0.3,13.2,11.7,36,5.3,16.8,1.1,10
2016,120031394,5,24.5,4.1,10.5,1.6,69.8,3.8,10.2,8.6,67.4,9.2,11.9,10.2,2.7
2016,117011321,3.5,16.1,5.3,17.8,0.6,63.1,1.5,11.3,9.5,58.6,10.4,17.8,5.9,4.7
2016,117031329,0.9,32.5,2.9,5.5,0.5,82,2.7,18.4,16.9,71.8,8.2,6.8,13.4,1.4
2016,117021327,3.4,28.6,3.6,9.2,1.1,74.3,3.4,11.1,10.2,70.2,9,10.2,12,2.3
2016,117011323,5.2,15.5,4.9,15.6,1.5,59.1,1.2,12.2,10.1,58,8.6,15.1,6.4,4.7
2016,117011325,null,12.1,null,6.9,null,86.2,null,55.2,55.2,29.3,null,10.3,8.6,5.2
2016,117031337,1.3,27.8,2.2,3.2,1,73.6,1.2,17.9,16.3,74.5,10.9,4.9,10.8,1.4
2016,118021568,3.5,23.9,3.9,10.4,1,64.6,1.7,9.4,7.3,70.5,8.4,10.6,10.6,3.2
2016,117021326,6.4,23.6,3.9,10,2.7,65,2.6,10.6,9.5,64.7,8.2,10.8,9.3,2.7
2016,118021569,2,30,3.7,8.6,0.3,76.3,3,10.2,8.3,75.1,9.3,11.3,12.5,2
2016,121021579,2,29.8,3.5,9.5,0.7,75,2.9,8.7,6.8,74.9,9.6,9.1,14.9,2.5
2016,117031332,1.4,31.5,2.6,5.4,0.4,72.4,3.1,10.7,9.6,79.2,7,7.3,12.8,1.4
2016,121031407,1.6,31.7,4.3,7,0.4,71.7,2.6,7.6,5.5,78.2,8.2,6.2,15.4,3
2016,121031408,1.5,32.6,4.4,7.6,0.4,73.3,3.3,6.5,4.7,78.6,9,6.6,15.3,2.8
2016,121041415,0.9,31.6,4.4,8.1,0.2,75.9,3.1,10.3,8.2,75.8,9.8,7,14.1,2.4
2016,117031333,1,27,3.5,6.2,0.3,82,2.6,24.3,23.1,64.7,8,8.2,12,1.3
2016,122021423,2.2,18.2,5.9,20.3,0.3,67.8,2.1,10.1,7.5,59.4,12.1,20.2,5.2,4.5
2016,117031334,1.5,30.8,3,4.7,0.8,73,1.9,13,11.4,76.7,8.6,6.3,12.4,1.8
2016,118011342,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2016,124011452,3.1,16.9,6,20.9,0.4,68.9,2.9,12.8,10.2,54.1,11.4,17.9,6.9,5.3
2016,124011453,2.7,16.7,6.6,25.9,0.1,68.1,3.4,7,5.1,53.5,12,23,6.1,6.1
2016,117031335,2.1,29.6,3.3,5.7,1,72.4,2.2,14.3,12.9,73.4,7.6,7.1,11.6,1.8
2016,118011343,0.9,32.4,3.6,6.4,0.2,76.3,2.6,13.3,11.2,75.7,8.6,6.7,12.7,1.9
2016,118011339,1.6,31.2,3.7,7.9,0.3,78.1,2.4,13.8,11.5,73,9.5,9.7,11.7,1.9
2016,118011340,1.2,32.5,3.3,6.9,0.2,78.9,2.6,15.4,13.3,73.5,8.8,8.8,10.7,1.6
2016,118011345,1,34.8,3.3,6,0.2,80.5,3.3,12.3,10.9,77.2,7.9,7,15.2,1.4
2016,118021350,3.8,14.1,4.8,17.6,0.8,64.3,1.3,19.2,17.3,50.9,8.4,15.4,5.9,4.8
2016,118011346,1.3,30.7,4.4,8.2,0.2,70.6,2.2,10.7,8,74.8,8.9,7.2,10.8,3.2
2016,118021564,1.7,24.1,3.3,5.6,0.7,60.6,1.5,9.8,8.2,78.8,6.6,7,11.5,1.8
2016,118021565,3.6,26.9,3.3,6.9,0.9,62.7,1.6,7.9,6.2,76.5,6.5,7.9,11.9,2.7
2016,118021567,3.9,21.7,4.2,13.5,0.8,66.9,2.2,11.4,9.5,64.3,9.2,13.3,9.1,3.8
2016,118021566,3.7,25.2,3.8,12,0.8,67.7,2.2,9.4,7.1,68.6,8.9,11.9,10.2,3.9
2016,124031461,4.4,8.9,7.1,30.9,0.4,54.4,1.1,8.8,7.1,41.6,8.4,24.7,2.5,8.5
2016,118021570,1.8,28.8,3.6,7.7,0.4,75.5,2.7,13.8,12.3,72.1,8.2,9.6,12.5,2
2016,119011355,3.4,23.6,2.9,8.1,2.1,66.5,1.8,11.9,10.2,72.4,11.6,10.1,8.3,2.2
2016,119011572,7.4,12.9,4.8,13.3,4.3,48.5,0.6,12,10.1,55.5,8.2,11.3,3.5,4.6
2016,124051470,4.1,9.3,7.3,30.2,0.7,52.5,0.8,7.9,6.1,44.9,8.3,24,2.2,6.7
2016,125011475,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2016,119011359,4.2,13.9,5.3,25.4,0.9,57.9,1.4,7.7,5.7,51.6,9.9,21.1,4,6.7
2016,119021573,8.3,16.6,3.7,10.6,4.6,52.7,1.1,10.3,8.3,60.8,7,9.1,8.8,3.7
2016,119021362,8.3,13.7,5,14.9,3.2,51.2,1,9.3,7.5,56.6,8.9,14.1,4.2,4.6
2016,119021363,6.1,16.8,3.8,10.9,3.3,52.6,1.1,8.9,6.8,64.9,9,10.4,6.5,4
2016,119021364,10,16.2,4.2,16.1,2.4,56.7,1.5,9.1,7.1,56.1,9.4,15.1,5.2,4.1
2016,119021366,8,11.2,5.2,16.3,4.3,46.3,0.6,10.1,7.7,53.6,7.9,12.7,3.7,4.8
2016,119021367,6.9,14.1,5,17.4,2.4,52.9,0.9,9.1,7.1,56,8.9,15.9,4.1,5.2
2016,119031369,4.2,20.9,4.7,15.4,1,63.3,1.8,7.8,5.9,64.2,9.7,14.7,8.3,4.5
2016,119031374,4.1,22.1,4.4,12.9,1.5,60.9,1.4,7,4.7,68.4,10.1,11.4,8.9,4
2016,120021387,1.5,31.3,3.6,9,0.3,78.9,3.9,11.2,10.1,73.3,8.9,7.9,15.7,2.3
2016,119021574,6.9,16.9,4.5,10.6,3.2,55.2,1.2,10.6,9.2,62.6,8.6,9.6,8.2,3.2
2016,119041376,5.7,17.8,4.3,13.8,1.8,58.5,1.2,10.5,8.7,61.9,9.4,12.9,6.7,3.7
2016,120021389,2.6,28.7,3.9,10.1,0.5,74.8,3.4,10.2,9.2,71.3,9.4,10.1,12.9,2.4
2016,119041380,6.2,16.3,4.9,16,1.4,60.5,1.3,12.2,10.1,57.6,10.3,15.4,5,3.9
2016,119041381,4.9,21.2,3.8,11.1,1.5,62.6,1.2,11.7,10,65.8,9.1,10.7,8.6,3
2016,119041382,5.9,15.3,4.9,20.3,1,60.4,1.4,10.3,8.1,54.5,10.7,18.2,4.5,5.3
2016,120011385,4.3,25.2,3.9,13.4,0.8,70.8,3,10.3,8.2,65.7,10,12.6,9.6,3.8
2016,120021388,2.8,29.1,3.6,10.1,0.6,74.5,3.6,9.8,8.5,71.8,9.1,10.1,12.9,2.7
2016,120031390,4.4,25.5,3.2,9,1.7,67.6,2.3,10.2,8.3,70.7,9.1,9.2,11.4,2.8
2016,120031392,7,21.1,3.9,12.9,1.7,63.5,2.7,8.1,6.9,64.5,9.6,13.3,8.7,3.1
2016,120031393,6.3,19.7,4.3,14.8,2,60.2,1.9,8.3,6.3,62.7,9.2,14.2,7,3.7
2016,120031395,6.6,25.7,3.7,11.3,1,68.4,2.9,8.5,7.2,67,9,11,11.3,3
2016,125031479,7.7,10,5.6,18.1,3.9,47.6,0.8,12.4,10.2,47.9,7.6,14.5,2.3,6.6
2016,120031396,2.5,25.4,3.3,6.5,1.4,68.4,1.6,12.1,10.4,73.9,8.6,7.6,13.2,2
2016,121011398,2.2,30.4,3.2,6.6,0.9,70.6,2.4,8.5,6.6,78.2,8.7,6.4,14.2,2.4
2016,126021497,2.8,26,3.6,9.6,1.1,66.2,2.2,6.4,4.6,75,9.2,9.2,13.2,3.3
2016,126021498,3.7,24.8,4.3,13.5,0.8,69,2.5,8.6,6.3,67.2,10.8,13.1,9.2,4.1
2016,121021578,2.3,23.6,4.6,14.1,0.8,70.3,2.9,8.5,6.8,67.9,11,13.4,10.9,3.4
2016,121041417,0.8,34.7,3.1,5.9,0.3,82.1,3.3,12.3,10.4,77.8,8.6,6,17.3,1.6
2016,122011419,1.1,31.9,3.9,9.1,0.1,78.3,2.9,11.6,9.5,74.2,10.1,9.4,12.3,2.3
2016,122031424,4.5,16.9,6,20.3,1,62,1.8,8.6,6.2,56.6,10.8,19.3,4.7,5.4
2016,122031425,3,16,6.3,21.7,0.4,64.5,1.7,8.5,5.9,56.8,12.8,21.3,4.1,5.9
2016,123021438,4.4,8,7.5,28.7,1.1,51.4,0.8,9,7.3,43.1,8.6,23,1.9,8
2016,123021439,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2016,123021440,3.7,14.9,5.9,22,0.8,58.5,1.2,9.7,7.7,54.4,8.7,18.3,5.6,5.6
2016,123021443,4.8,11.1,6.6,23.9,1.3,52.3,1,8.3,6.1,50.6,8.5,18.9,4.5,6.7
2016,123021444,4.2,8.8,7.1,27.5,0.8,52.7,1.1,10.2,8.3,44.2,8.5,22,2.2,7.9
2016,124031460,2.7,12.2,7.4,28.5,0.4,56.6,1.4,6.1,4.2,50.7,10.8,22.7,3.5,6.1
2016,124041467,4.8,7.6,8,33.8,0.4,54,1,8.3,6.6,37.4,8.1,27.2,1.9,8.8
2016,124051580,6.4,6.4,7.3,28.9,1.3,47.1,0.8,10.2,8.4,39.5,6.6,21.4,1.8,8.3
2016,125011583,7.7,16.1,3.7,7.8,7.9,49.5,0.9,10.6,8.3,61.7,7.7,7,7.2,3
2016,127011594,7.7,10,6.1,17.5,4.6,43.3,0.6,7.3,5.7,53.4,8.1,15.8,1.5,5.1
2016,125011587,7.4,13.4,5.4,15.1,3.8,47.8,0.8,7.9,5.9,56.8,8.8,12.8,4.3,5.6
2016,125011584,8.9,12.7,5.7,14.1,5.3,44.3,0.8,9.4,7,54.6,7.3,10,3.9,4.5
2016,125011586,4.8,19.9,3.6,9.4,3.3,54.5,1.2,9.2,7.2,68.5,9,9,6.2,3.2
2016,125041490,2.8,22.9,4.8,17,0.6,67.2,2.5,5.7,3.3,66.8,11.5,15.4,9.2,4.6
2016,125041492,2.2,28.4,2.6,6.7,1.6,73.3,1.8,12,10,75.1,8.1,6.5,16.5,1.9
2016,125041493,4.6,18,5.2,19.7,1,60.7,1.7,8.1,6.1,57.5,9.1,16.1,7.7,5.9
2016,125041494,3,19.9,5,21.3,0.5,63.9,2.2,5.6,3.5,61.7,11.5,18.7,6,5
2016,125021477,4.3,17.6,5,16.4,2.1,59.1,1.4,8,6.2,61,9.8,15.8,6.5,4.9
2016,126011495,1.6,29,3.7,9.2,0.7,70.5,2.8,5.8,3.6,78,9,8.2,15.6,3.1
2016,126021591,4,22.8,3.9,13.5,1.1,66.6,1.8,8.9,6.6,67.4,9.8,13,10.3,3.5
2016,127011504,9.1,4.2,6.9,21.8,4.2,40.5,0.3,15.1,13.4,35.3,5.7,14.4,0.9,9.4
2016,125031487,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2016,127011593,5,14.2,5.8,18.5,2.8,51.5,1,7.1,5.3,58.1,9.5,17.1,2.8,4.5
2016,127011596,4.9,13.2,6.3,18.2,2.2,52.6,0.7,7.1,5,58.6,10.2,18.1,3.2,4.8
2016,127021509,9,9.6,5.7,16.2,7.2,39.7,0.5,6.7,5.2,51.1,7.6,13.9,1.4,5.6
2016,127031600,4,14.8,6.1,17.1,1.8,55.6,1,8.1,5.9,60.8,10.6,16.9,4.3,4.3
2016,127031601,6.9,11.6,5.2,13.9,2.7,56.8,0.8,19.2,17.1,49,7.8,13.5,4,5
2016,128011605,1.6,21.2,5.6,23,null,68.2,2.1,5.1,3.5,60.8,12.9,20,6.6,5.6
2016,127021512,9.3,8,5.9,17.9,6.1,39.7,0.4,8.9,7.5,46.7,6.6,14.6,1.3,6.6
2016,128021533,3,12,5.8,30,0.1,62.9,1.9,7.6,4.9,48.2,10.7,27.1,3.6,7.8
2016,128021534,3.4,18.8,5.3,22.9,0.6,63.2,1.9,5.2,2.9,60.3,11.1,21,5.1,4.7
2016,128021535,2.8,16.1,6,25,0.4,62.6,2,6.1,4,56.8,11.6,22.3,4.4,5
2016,128021537,null,26.9,null,11.5,null,84.6,null,23.1,23.1,57.7,15.4,11.5,null,null
2016,127021513,10.7,9.1,5.6,14.6,7.8,35.7,0.3,7.5,6.1,49.1,6.1,11.3,1.4,6.2
2016,127021515,11.8,9.3,5.4,12.9,8.1,39.5,0.5,8.7,7.1,48.3,7.4,11.5,2.1,6.4
2016,127021516,11,8.1,5.6,16.7,6.4,38.9,0.6,8.2,6.4,46.9,7.2,13.3,1.6,6.9
2016,127021517,10.3,10.4,5,16.8,6.1,42,0.6,6.5,5,50.4,8.4,14.5,1.6,6.3
2016,127031522,5.7,13.1,5.6,18.5,2,54.5,1,10.3,8.3,54.9,9.6,17,3.4,5
2016,127031524,3.2,16.8,6.6,21.1,0.4,61.8,1.5,6.9,5.3,58.9,10.7,20.4,5.6,4.4
2016,128021608,1.8,16.1,6.3,28.5,0.1,64.5,2.4,5,3.3,54,11.6,24.9,4.7,6
